Type,Diam_cm,Material,X,Y,Z
0,0.0,2,633854.2594044084,3475597.5407113335,0.0
0,50.0,2,633860.0946020207,3475655.335616001,0.0
0,70.0,2,633851.9251325235,3475659.6417915393,0.0
0,54.0,2,633854.9203584413,3475705.8734289855,0.0
3,60.0,1,633953.1028798032,3475348.128870248,-2.8282000000035623
4,100.0,3,633956.9248164974,3475350.875077005,-3.3276000000041677
5,90.0,3,633955.3562569917,3475354.7730804235,-3.414199999999255
6,60.0,1,633949.2531834503,3475344.709257564,-3.116200000004028
7,100.0,2,633700.8562888597,3475707.7373983045,0.0
7,120.0,2,633704.3953162392,3475706.4396023676,0.0
7,80.0,2,633706.6225946867,3475706.6306209373,0.0
7,110.0,2,633704.524552853,3475710.9989344757,0.0
0,70.0,2,633707.2406296926,3475603.6297966847,0.0
0,59.0,2,633707.5374203578,3475504.930020913,0.0
0,59.0,2,633708.2464070657,3475504.6753334682,0.0
7,76.0,2,633713.9107680274,3475503.660559082,0.0
2,60.0,4,633716.117108623,3475434.3017841876,0.0
0,48.0,2,633723.1950560538,3475436.956005858,0.0
0,63.0,2,633718.6637912218,3475431.478223903,0.0
0,0.0,2,633717.5628616815,3475430.2936615865,0.0
0,63.0,2,633718.2045807649,3475436.978765531,0.0
7,88.0,2,633711.814940808,3475365.687369742,0.0
0,76.0,2,633711.5994404812,3475359.0434608827,0.0
0,74.0,2,633715.657494419,3475356.391625551,0.0
0,78.0,2,633716.3763774692,3475355.0838807886,0.0
0,0.0,2,633717.544989986,3475359.397746305,0.0
0,59.0,2,633718.5728533479,3475359.977949122,0.0
0,89.0,2,633707.4422864437,3475355.734424706,0.0
0,76.0,2,633702.9495772652,3475353.388679304,0.0
7,100.0,2,633691.4890912882,3475361.138703087,0.0
0,48.0,2,633705.7536789665,3475348.105439479,0.0
0,69.0,2,633707.2911730761,3475301.701572367,0.0
0,68.0,2,633708.7747795483,3475300.871459851,0.0
0,46.0,2,633591.790697488,3475692.2678820835,0.0
0,41.0,2,633602.59431116,3475703.8060737806,0.0
0,66.0,2,633607.4443297535,3475706.1604395485,0.0
0,53.0,2,633509.7334953132,3475708.6445563245,0.0
8,53.0,2,633500.4300167728,3475712.3994578393,0.0
0,55.0,2,633501.1774900698,3475710.3342553107,0.0
0,70.0,2,633500.7945510733,3475713.0164512894,0.0
0,68.0,2,633492.767671624,3475599.584617883,0.0
0,47.0,2,633491.2489944171,3475594.5592041546,0.0
0,57.0,2,633503.2011094467,3475504.755144094,0.0
0,55.0,2,633430.2044230218,3475575.2903485927,0.0
0,61.0,2,633509.5887667197,3475507.538001319,0.0
0,54.0,2,633510.6609194707,3475509.5720056086,0.0
9,73.0,2,633503.5977574759,3475346.724057,-3.0108999999938533
6,70.0,1,633409.3720472935,3475308.662753464,-3.6586999999999534
10,51.0,1,633408.3860707039,3475306.1045067282,-3.930399999997462
